train_size,model,parameter_count,seed_count,positive_nmse_mean,positive_nmse_std,negative_nmse_mean,negative_nmse_std,scaled_positive_nmse_mean,scaled_positive_nmse_std,scaled_negative_nmse_mean,scaled_negative_nmse_std,positive_control_error_mean,positive_control_error_std,negative_control_error_mean,negative_control_error_std,positive_control_success_mean,positive_control_success_std,negative_control_success_mean,negative_control_success_std
50,corrected,4612,5,2.875664426937874e-06,1.4935060423797461e-06,0.0002972938644234091,8.588688922588205e-05,0.00014367141557158902,5.3208950055963516e-05,0.001238388940691948,0.00013073951174079551,0.00011331640493731736,2.027393217738502e-05,0.0008734839460935006,0.00014594766431442295,1.0,0.0,0.6591145833333333,0.06181619197841134
50,first_order,4482,5,0.00023458041541744024,6.084220966993446e-06,0.02660635970532894,0.000349050955490057,0.007508275471627713,0.00017650252673406144,0.060230115056037904,0.000520929609057428,0.00019531337496445645,6.864428618422598e-05,0.0014424086495533099,1.6171314756738358e-05,0.9936197916666668,0.011808108384119394,0.448046875,0.003936514702560148
50,free,4546,5,0.0002364838233916089,1.3624200566254396e-05,0.026745035499334335,0.0006121442403560866,0.007530270144343376,0.0002423441192145267,0.06047523692250252,0.0012519474449234629,0.00027139182609730027,9.140917558934075e-05,0.0019240470938574577,0.0005238766921930882,0.9828125,0.021622425786090697,0.4475260416666667,0.1223623070217602
100,corrected,4612,5,2.685732670215657e-06,4.634020631366756e-07,0.00022406601055990905,7.706907142734986e-05,0.0001177673795609735,2.3885982027621035e-05,0.0011063457815907896,0.00028703816088802424,0.00012769417585805818,1.655477461876215e-05,0.0008813949591103192,0.00028668781125562495,1.0,0.0,0.6604166666666667,0.12012140419992519
100,first_order,4482,5,0.00022833810944575817,5.410378222956682e-06,0.026505018770694732,0.0003336201313551559,0.0075497603043913845,0.00016565143502360688,0.06008147969841957,0.000497539653453427,0.0001370478422667058,4.138600355200173e-05,0.0014354386382583093,1.5785537568641042e-05,1.0,0.0,0.45234375,0.006397457550280345
100,free,4546,5,0.00022323542216327042,4.916508504511496e-06,0.026284270361065863,0.0004401266947761965,0.007398720923811197,0.00022164321603800998,0.05951009765267372,0.0009840454727886245,0.00021593654230708616,7.806528626741597e-05,0.001791558610809337,0.00047935033981110625,0.9932291666666668,0.013541666666666653,0.449609375,0.11267844282676516
200,corrected,4612,5,2.418249368929537e-06,6.575171748313896e-07,0.00020037986105307936,5.943118625090358e-05,0.00011154287931276485,7.982215630061291e-06,0.0010585718555375934,0.00018989493650909528,0.00011640636875801154,8.649956303518505e-06,0.0008871359141830717,0.00015083354493953646,1.0,0.0,0.6291666666666667,0.06194770078363258
200,first_order,4482,5,0.00022179549268912523,1.5225168803187678e-06,0.02654683142900467,0.0002939117601805919,0.00751865804195404,0.00014676878795398722,0.06014705002307892,0.00043886788162959535,0.0001240521597374311,2.6019011652584906e-05,0.001437965008746289,1.561323305554007e-05,1.0,0.0,0.45247395833333337,0.00411754903667758
200,free,4546,5,0.00021601371699944138,2.7532830123924725e-06,0.025961532816290857,0.00035853445916137465,0.007328172121196986,0.00020302841641045073,0.058816297352313994,0.000863446821683035,0.0001703076750556439,2.830790813497417e-05,0.0015555450737987067,0.0002738239474977123,1.0,0.0,0.478515625,0.06730901882182613
500,corrected,4612,5,2.0795006548723904e-06,4.724904442804862e-07,0.00019958551856689156,1.3392958739284302e-05,0.00010726205073297024,6.531469751055761e-06,0.0010701295919716357,5.356105251370103e-05,0.00011173905064107239,1.3509125691984489e-05,0.0009290896334772942,7.176076975963685e-05,1.0,0.0,0.6154947916666667,0.01906385184186584
500,first_order,4482,5,0.00021950141817796975,2.723067281809309e-06,0.02639484740793705,0.00028086321280812026,0.007591778226196766,0.00014456490131378835,0.059920914471149445,0.0004208542851850597,9.834184639032629e-05,9.404275278365244e-06,0.0014252560915679166,1.5604088234761127e-05,1.0,0.0,0.4625,0.005487319662944126
500,free,4546,5,0.00021260078065097333,2.65179558788889e-06,0.025638427957892417,0.0003707872630469505,0.007358560245484114,0.00016349266119084884,0.058179745078086854,0.0007482638237762123,0.00012824889518512348,2.486202256667048e-05,0.0014485268785949283,0.00014318490885693427,1.0,0.0,0.4779947916666667,0.06308509765737842
1000,corrected,4612,5,1.7737643474902142e-06,5.161188087391282e-07,0.0001875059911981225,4.1864887526425695e-05,0.00010343819158151746,2.256114522705493e-05,0.0010498668649233877,0.00018563681599124312,0.0001060507771635836,2.0812939808772756e-05,0.0009583379208746596,0.00022314588831311217,1.0,0.0,0.6100260416666667,0.09988515404986854
1000,first_order,4482,5,0.00021781590185128153,1.0636682692081635e-06,0.026357008144259453,0.00012802921416276144,0.0076087026856839655,6.602682048575103e-05,0.05986555889248848,0.00019163500304637173,0.00010226950201897012,1.9053607644776156e-05,0.001427989345995684,5.562515032509346e-06,1.0,0.0,0.458984375,0.004510548978043947
1000,free,4546,5,0.00020697164873126895,5.6167942003992095e-06,0.025113685056567192,0.0007835317026773231,0.007204692624509334,0.00022116782993685568,0.05704168826341629,0.0019170318763337732,0.00012020760406699083,2.3401930854432176e-05,0.0014675536808439916,0.0005392479983606262,1.0,0.0,0.4753906249999999,0.1697076695029062

