seed,train_size,model,parameter_count,q_bin_coverage,best_epoch,validation_mse,positive_nmse,negative_nmse,scaled_positive_nmse,scaled_negative_nmse,positive_control_error,negative_control_error,positive_control_success,negative_control_success,positive_action_mae,negative_action_mae
0,50,free,4546,1.0,1199,2.7392429728934076e-06,0.0002592343953438103,0.027542464435100555,0.007762678898870945,0.06236236169934273,0.00041249167102700807,0.002456371002371801,0.96484375,0.3424479166666667,0.0004124883853364736,0.0024563680174954547
0,50,first_order,4482,1.0,375,2.530608071538154e-06,0.000240746681811288,0.0265855360776186,0.007529944181442261,0.06019783392548561,0.0002202766991400059,0.0014460883145327823,0.998046875,0.4440104166666667,0.00022027665787997344,0.0014460921399101305
0,50,corrected,4612,1.0,1199,3.399883041765861e-08,3.1198774195217993e-06,0.00031813548412173986,0.00013447880337480456,0.0013178422814235091,0.00011126709007906281,0.0008730444551143061,1.0,0.6640625,0.00011125715051700051,0.0008730332823082184
0,100,free,4546,1.0,475,2.4317980660271132e-06,0.0002295531303388998,0.02700752578675747,0.007079860661178827,0.06088803708553314,0.00036647653713117734,0.0026366979845858416,0.9661458333333334,0.3125,0.000366476643345474,0.0026366945482247197
0,100,first_order,4482,1.0,1199,2.5089502742048353e-06,0.00023757995222695172,0.02703082002699375,0.007298748008906841,0.06086315959692001,0.00020002433180839793,0.0014630184761254366,1.0,0.4407552083333333,0.0002000234259564119,0.0014630194903778222
0,100,corrected,4612,1.0,1199,2.373149499135252e-08,2.131164137608721e-06,0.0002739661722443998,8.568006160203367e-05,0.001336736255325377,0.00010000859534760782,0.0011753829729173049,1.0,0.525390625,0.00010001156382107486,0.0011753893583469714
0,200,free,4546,1.0,1000,2.2217609512154013e-06,0.0002152830857085064,0.025983072817325592,0.0070683928206563,0.05841629207134247,0.00011842802664337644,0.0010575514107363422,1.0,0.5598958333333334,0.00011843027459690347,0.0010575505560458016
0,200,first_order,4482,1.0,1199,2.293979605383356e-06,0.0002227509394288063,0.026950055733323097,0.007317014969885349,0.060749612748622894,9.937485995692441e-05,0.0014596319482791387,1.0,0.451171875,9.937227635721986e-05,0.001459633742342703
0,200,corrected,4612,1.0,1199,3.110314139576076e-08,2.732918574110954e-06,0.00015678447380196303,0.00011755486048059538,0.0009094731067307293,0.00012451215114950287,0.0007467431435893938,1.0,0.68359375,0.00012450306045745188,0.0007467428828628423
0,500,free,4546,1.0,1125,2.1807222765346523e-06,0.00021195154113229364,0.025836709886789322,0.0072000641375780106,0.05841862037777901,0.0001568598656251178,0.0012947797325596848,1.0,0.5325520833333334,0.00015685338439652696,0.0012947788879197712
0,500,first_order,4482,1.0,1199,2.2372532839654014e-06,0.00021805308642797172,0.02669380232691765,0.007438978645950556,0.060368672013282776,9.933742497854799e-05,0.0014416623962934712,1.0,0.45703125,9.933683516768117e-05,0.0014416649598085012
0,500,corrected,4612,1.0,1199,2.997468229182232e-08,2.535304929551785e-06,0.00019150605658069253,0.00010546876001171768,0.0010439989855512977,0.00012740798184888527,0.0008962481391054192,1.0,0.6263020833333334,0.00012740332022076473,0.0008962460633483715
0,1000,free,4546,1.0,1199,2.1737164388468955e-06,0.00021322414977476,0.026118986308574677,0.007409996353089809,0.05926600471138954,9.536192886609267e-05,0.0015374993095467933,1.0,0.4446614583333333,9.535945234044145e-05,0.0015374987196992151
0,1000,first_order,4482,1.0,1199,2.199127720814431e-06,0.00021761319658253342,0.02646358497440815,0.007554531563073397,0.06002485752105713,9.017986534824256e-05,0.0014356726588668305,1.0,0.455078125,9.017496389181663e-05,0.0014356751053128392
0,1000,corrected,4612,1.0,1199,2.3638719426344323e-08,2.159419182135025e-06,0.00011896356591023505,0.0001445314846932888,0.0007277086260728538,0.00014336516632222165,0.0005691155567160896,1.0,0.787109375,0.00014334892572757477,0.0005691155674867332
