condition,train_size,model,parameter_count,seed_count,fit_transition_count,positive_axis_nmse_mean,positive_axis_nmse_std,negative_axis_nmse_mean,negative_axis_nmse_std,positive_joint_nmse_mean,positive_joint_nmse_std,negative_joint_nmse_mean,negative_joint_nmse_std,mixed_joint_nmse_mean,mixed_joint_nmse_std,negative_axis_control_error_mean,negative_axis_control_error_std,positive_joint_control_error_mean,positive_joint_control_error_std,mixed_joint_control_error_mean,mixed_joint_control_error_std,negative_axis_control_success_mean,negative_axis_control_success_std,positive_joint_control_success_mean,positive_joint_control_success_std,mixed_joint_control_success_mean,mixed_joint_control_success_std
axis_only,200,corrected,5780,3,160,0.00021928660377549628,6.474679154337175e-05,0.0064888992346823215,0.0030809939505928355,0.001889860606752336,0.00011051880633072718,0.009204999388506016,0.002245891702117852,0.007175433759888013,0.0019543796958169128,0.009325337845439208,0.0022062281464599602,0.008321081706930675,0.0002610817792564409,0.008948613007507648,0.0008832540011256128,0.9114583333333334,0.07000640678352761,1.0,0.0,0.9739583333333334,0.03146626555623586
axis_only,200,first_order,5000,3,160,0.0004924975316195438,5.216084929374699e-05,0.02616807383795579,0.00010095165151636014,0.0014169656593973439,7.816974994834894e-05,0.031671397387981415,0.00033452291124314775,0.010080570665498575,0.00016759202433359798,0.013144641640489377,0.0003279086920760419,0.0081121142809732,0.00011484630134291075,0.00900445831939578,0.00019211308558346043,0.8072916666666666,0.011838699389744637,1.0,0.0,0.9921875,0.00562564296736794
axis_only,200,free,4868,3,160,0.0006187247927300632,5.2450357504064093e-05,0.035675399005413055,0.0027369657634367032,0.002529827800268928,0.00018976345720119207,0.04773235321044922,0.004231503030701644,0.012871702822546164,0.001360975583482213,0.016534926226490318,0.0016308995093908686,0.008899159288881088,0.00013702745361782284,0.009636178594923371,0.00027344042096969943,0.7022569444444445,0.04380026323452381,0.984375,0.0042525863589986035,0.9583333333333334,0.00736569563735987
axis_only,500,corrected,5780,3,400,0.00015657247665027776,3.1282447305231025e-05,0.004688828174645702,0.0011429299961179158,0.0018452795144791405,3.365692642436811e-05,0.00807261016840736,0.0009583069888196068,0.005961898093422254,0.0005494071129932375,0.007751243287202669,0.0013280029681550368,0.008121070935481435,0.00014811693696792355,0.00856516065565908,0.0004276322712529061,0.9296875,0.04056708835259693,1.0,0.0,0.9791666666666666,0.01948779888944761
axis_only,500,first_order,5000,3,400,0.00040136811245853704,2.1897236342790194e-06,0.026013746857643127,0.0001505208914277885,0.0013652200965831678,1.1134342755438729e-05,0.0314005563656489,0.00014669356984580326,0.010018136662741503,0.00014204896045351764,0.01321728615585016,0.0001863778139550551,0.008080293665342549,1.855730915487792e-05,0.008924373930413924,2.761511489633015e-05,0.796875,0.007666459085354013,1.0,0.0,0.9973958333333334,0.0021262931794993017
axis_only,500,free,4868,3,400,0.00042433099588379264,3.8109612597065375e-06,0.028065253049135208,0.0011294605704340328,0.001978702067087094,8.699416617869553e-05,0.03322698548436165,0.0006023030210337059,0.01306547193477551,0.0011521576310926833,0.01315705672621132,0.0009023451080208676,0.008432279691785678,0.00018633693110785277,0.009866333359241253,0.00034849868336295746,0.8012152777777778,0.028315115330382116,0.9982638888888888,0.002455231879119974,0.9409722222222222,0.007467296238752311
axis_only,1000,corrected,5780,3,800,0.00010882179291608433,2.3570636672270636e-05,0.0035272981816281876,0.0011775507131893004,0.0018916539459799726,9.758626021081838e-05,0.007583404115090768,0.0017256185650214961,0.005281363148242235,0.00034024118009277074,0.006603013757234697,0.0013125913915619464,0.008217044700157002,7.178200581164179e-05,0.008019599186001059,0.00013287932093921745,0.9678819444444445,0.021298340531918942,1.0,0.0,0.9930555555555555,0.004426232216660428
axis_only,1000,first_order,5000,3,800,0.00039432217211772996,4.030029461994044e-06,0.02594275337954362,0.0001764323396244742,0.0014218026772141457,2.6899285761578427e-05,0.03154032615323862,0.0003441516424728156,0.009898879565298557,5.276542525580162e-05,0.013015083080972545,0.00025163009240220484,0.008134971746282341,8.301297156726494e-05,0.008891779912826475,0.00014300164908933368,0.8081597222222222,0.003247966481574605,1.0,0.0,0.9982638888888888,0.002455231879119974
axis_only,1000,free,4868,3,800,0.00040726023144088686,5.067785148591393e-05,0.027621539309620857,0.0035055747164410658,0.0019307777984067798,4.521759805146989e-05,0.03613439326484998,0.00411034544959674,0.009946108485261599,0.0013405024858390584,0.013553526921694155,0.001203997463060233,0.008275760645725919,0.0001329085534359627,0.009408198047620114,0.00030649838930155935,0.787326388888889,0.029024745655035572,1.0,0.0,0.9826388888888888,0.014157557665191077
axis_only,2000,corrected,5780,3,1600,9.40008782587635e-05,1.6635389406009017e-05,0.0028913947753608227,0.0006493052958471899,0.0019532031922911606,6.548904592309705e-05,0.006313373024264972,0.0005751748149520376,0.005759703150639932,0.0001810779603188886,0.005605351114556672,0.000498539341395395,0.00814178697247472,9.28565168658558e-05,0.008010480279254908,0.00021093255133799204,0.9852430555555555,0.01567315111568386,1.0,0.0,0.9982638888888888,0.002455231879119974
